Timestamp, Moisture (V), Moisture (Raw ADC)
2020-04-17T00:25:00Z,0.24, 4800.00
2020-04-17T00:55:00Z,0.24, 4800.00
2020-04-17T01:25:00Z,0.24, 4800.00
2020-04-17T01:55:00Z,0.24, 4800.00
2020-04-17T02:25:00Z,0.24, 4800.00
2020-04-17T02:55:00Z,0.24, 4800.00
2020-04-17T03:25:00Z,0.24, 4736.00
2020-04-17T03:55:00Z,0.24, 4800.00
2020-04-17T04:25:00Z,0.24, 4800.00
2020-04-17T04:55:00Z,0.24, 4736.00
2020-04-17T05:25:00Z,0.24, 4736.00
2020-04-17T05:55:00Z,0.24, 4736.00
2020-04-17T06:25:00Z,0.24, 4736.00
2020-04-17T06:55:00Z,0.24, 4800.00
2020-04-17T07:25:00Z,0.24, 4864.00
2020-04-17T07:55:00Z,0.24, 4864.00
2020-04-17T08:25:00Z,0.24, 4864.00
2020-04-17T08:55:00Z,0.24, 4800.00
2020-04-17T09:25:00Z,0.24, 4800.00
2020-04-17T09:55:00Z,0.24, 4864.00
2020-04-17T10:25:00Z,0.24, 4864.00
2020-04-17T10:55:00Z,0.24, 4800.00
2020-04-17T11:25:00Z,0.24, 4864.00
2020-04-17T11:55:00Z,0.24, 4800.00
2020-04-17T12:25:00Z,0.24, 4864.00
2020-04-17T12:55:00Z,0.24, 4800.00
2020-04-17T13:25:00Z,0.24, 4800.00
2020-04-17T13:55:00Z,0.24, 4800.00
2020-04-17T14:25:00Z,0.24, 4800.00
2020-04-17T14:55:00Z,0.24, 4800.00
2020-04-17T15:25:00Z,0.24, 4864.00
2020-04-17T15:55:00Z,0.24, 4864.00
2020-04-17T16:25:00Z,0.24, 4800.00
2020-04-17T16:55:00Z,0.24, 4800.00
2020-04-17T17:25:00Z,0.24, 4800.00
2020-04-17T17:55:00Z,0.24, 4800.00
2020-04-17T18:25:00Z,0.24, 4800.00
2020-04-17T18:55:00Z,0.24, 4800.00
2020-04-17T19:25:00Z,0.24, 4800.00
2020-04-17T19:55:00Z,0.24, 4800.00
2020-04-17T20:25:00Z,0.24, 4800.00
2020-04-17T20:55:00Z,0.24, 4864.00
2020-04-17T21:25:00Z,0.24, 4864.00
2020-04-17T21:55:00Z,0.24, 4864.00
2020-04-17T22:25:00Z,0.24, 4864.00
2020-04-17T22:55:00Z,0.24, 4864.00
2020-04-17T23:25:00Z,0.24, 4800.00
2020-04-17T23:55:00Z,0.24, 4800.00
